"customerNumber";"customerName";"phone";"addressLine1";"addressLine2";"city";"state";"postalCode";"country";"salesRepEmployeeNumber";"creditLimit";"lastNameFirstName"
239;"Collectable Mini Designs Co.";"7605558146";"361 Furth Circle";"";"San Diego";"CA";"91217";"USA";1166;105000.0;"Thompson,Valarie"
240;"giftsbymail.co.uk";"(198) 555-8888";"Garden House";"Crowther Way 23";"Cowes";"Isle of Wight";"PO31 7PJ";"UK";1501;93900.0;"Bennett,Helen "
242;"Alpha Cognac";"61.77.6555";"1 rue Alsace-Lorraine";"";"Toulouse";"";"31000";"France";1370;61100.0;"Roulet,Annette "
247;"Messner Shopping Network";"069-0555984";"Magazinweg 7";"";"Frankfurt";"";"60528";"Germany";0;0.0;"Messner,Renate "
249;"Amica Models & Co.";"011-4988555";"Via Monte Bianco 34";"";"Torino";"";"10100";"Italy";1401;113000.0;"Accorti,Paolo "
250;"Lyon Souveniers";"+33 1 46 62 7555";"27 rue du Colonel Pierre Avia";"";"Paris";"";"75508";"France";1337;68100.0;"Da Silva,Daniel"
256;"Auto Associes & Cie.";"30.59.8555";"67, avenue de l'Europe";"";"Versailles";"";"78000";"France";1370;77900.0;"Tonini,Daniel "
259;"Toms Spezialitaten, Ltd";"0221-5554327";"Mehrheimerstr. 369";"";"Koln";"";"50739";"Germany";1504;120400.0;"Pfalzheim,Henriette "
260;"Royal Canadian Collectables, Ltd.";"(604) 555-4555";"23 Tsawassen Blvd.";"";"Tsawassen";"BC";"T2F 8M4";"Canada";1323;89600.0;"Lincoln,Elizabeth "
273;"Franken Gifts, Co";"089-0877555";"Berliner Platz 43";"";"Munchen";"";"80805";"Germany";0;0.0;"Franken,Peter "
276;"Anna's Decorations, Ltd";"02 9936 8555";"201 Miller Street";"Level 15";"North Sydney";"NSW";"2060";"Australia";1611;107800.0;"O'Hara,Anna"
278;"Rovelli Gifts";"035-640555";"Via Ludovico il Moro 22";"";"Bergamo";"";"24100";"Italy";1401;119600.0;"Rovelli,Giovanni "
282;"Souveniers And Things Co.";"+61 2 9495 8555";"Monitor Money Building";"815 Pacific Hwy";"Chatswood";"NSW";"2067";"Australia";1611;93300.0;"Huxley,Adrian"
286;"Marta's Replicas Co.";"6175558555";"39323 Spinnaker Dr.";"";"Cambridge";"MA";"51247";"USA";1216;123700.0;"Hernandez,Marta"
293;"BG&E Collectables";"+41 26 425 50 01";"Rte des Arsenaux 41 ";"";"Fribourg";"";"1700";"Switzerland";0;0.0;"Harrison,Ed"
298;"Vida Sport, Ltd";"0897-034555";"Grenzacherweg 237";"";"Geneve";"";"1203";"Switzerland";1702;141300.0;"Holz,Mihael"
299;"Norway Gifts By Mail, Co.";"+47 2212 1555";"Drammensveien 126A";"PB 211 Sentrum";"Oslo";"";"N 0106";"Norway  ";1504;95100.0;"Klaeboe,Jan"
303;"Schuyler Imports";"+31 20 491 9555";"Kingsfordweg 151";"";"Amsterdam";"";"1043 GR";"Netherlands";0;0.0;"Schuyler,Bradley"
307;"Der Hund Imports";"030-0074555";"Obere Str. 57";"";"Berlin";"";"12209";"Germany";0;0.0;"Andersen,Mel"
311;"Oulu Toy Supplies, Inc.";"981-443655";"Torikatu 38";"";"Oulu";"";"90110";"Finland";1501;90500.0;"Koskitalo,Pirkko"
314;"Petit Auto";"(02) 5554 67";"Rue Joseph-Bens 532";"";"Bruxelles";"";"B-1180";"Belgium";1401;79900.0;"Dewey,Catherine "
319;"Mini Classics";"9145554562";"3758 North Pendale Street";"";"White Plains";"NY";"24067";"USA";1323;102700.0;"Frick,Steve"
320;"Mini Creations Ltd.";"5085559555";"4575 Hillside Dr.";"";"New Bedford";"MA";"50553";"USA";1188;94500.0;"Huang,Wing"
321;"Corporate Gift Ideas Co.";"6505551386";"7734 Strong St.";"";"San Francisco";"CA";"94217";"USA";1165;105000.0;"Brown,Julie"
323;"Down Under Souveniers, Inc";"+64 9 312 5555";"162-164 Grafton Road";"Level 2";"Auckland  ";"";"";"New Zealand";1612;88000.0;"Graham,Mike"
324;"Stylish Desk Decors, Co.";"(171) 555-0297";"35 King George";"";"London";"";"WX3 6FW";"UK";1501;77000.0;"Brown,Ann "
328;"Tekni Collectables Inc.";"2015559350";"7476 Moss Rd.";"";"Newark";"NJ";"94019";"USA";1323;43000.0;"Brown,William"
333;"Australian Gift Network, Co";"61-7-3844-6555";"31 Duncan St. West End";"";"South Brisbane";"Queensland";"4101";"Australia";1611;51600.0;"Calaghan,Ben"
334;"Suominen Souveniers";"+358 9 8045 555";"Software Engineering Center";"SEC Oy";"Espoo";"";"FIN-02271";"Finland";1501;98800.0;"Suominen,Kalle"
335;"Cramer Spezialitaten, Ltd";"0555-09555";"Maubelstr. 90";"";"Brandenburg";"";"14776";"Germany";0;0.0;"Cramer,Philip "
339;"Classic Gift Ideas, Inc";"2155554695";"782 First Street";"";"Philadelphia";"PA";"71270";"USA";1188;81100.0;"Cervantes,Francisca"
344;"CAF Imports";"+34 913 728 555";"Merchants House";"27-30 Merchant's Quay";"Madrid";"";"28023";"Spain";1702;59600.0;"Fernandez,Jesus"
347;"Men 'R' US Retailers, Ltd.";"2155554369";"6047 Douglas Av.";"";"Los Angeles";"CA";"91003";"USA";1166;57700.0;"Chandler,Brian"
348;"Asian Treasures, Inc.";"2967 555";"8 Johnstown Road";"";"Cork";"Co. Cork";"";"Ireland";0;0.0;"McKenna,Patricia "
350;"Marseille Mini Autos";"91.24.4555";"12, rue des Bouchers";"";"Marseille";"";"13008";"France";1337;65000.0;"Lebihan,Laurence "
353;"Reims Collectables";"26.47.1555";"59 rue de l'Abbaye";"";"Reims";"";"51100";"France";1337;81100.0;"Henriot,Paul "
356;"SAR Distributors, Co";"+27 21 550 3555";"1250 Pretorius Street";"";"Hatfield";"Pretoria";"0028";"South Africa";0;0.0;"Kuger,Armand"
357;"GiftsForHim.com";"64-9-3763555";"199 Great North Road";"";"Auckland";"";"";"New Zealand";1612;77700.0;"MacKinlay,Wales"
361;"Kommission Auto";"0251-555259";"Luisenstr. 48";"";"Munster";"";"44087";"Germany";0;0.0;"Josephs,Karin"
362;"Gifts4AllAges.com";"6175559555";"8616 Spinnaker Dr.";"";"Boston";"MA";"51003";"USA";1216;41900.0;"Yoshido,Juri"
363;"Online Diecast Creations Co.";"6035558647";"2304 Long Airport Avenue";"";"Nashua";"NH";"62005";"USA";1216;114200.0;"Young,Dorothy"
369;"Lisboa Souveniers, Inc";"(1) 354-2555";"Jardim das rosas n. 32";"";"Lisboa";"";"1675";"Portugal";0;0.0;"Rodriguez,Lino "
376;"Precious Collectables";"0452-076555";"Hauptstr. 29";"";"Bern";"";"3012";"Switzerland";1702;0.0;"Urs,Braun"
379;"Collectables For Less Inc.";"6175558555";"7825 Douglas Av.";"";"Brickhaven";"MA";"58339";"USA";1188;70700.0;"Nelson,Allen"
381;"Royale Belge";"(071) 23 67 2555";"Boulevard Tirou, 255";"";"Charleroi";"";"B-6000";"Belgium";1401;23500.0;"Cartrain,Pascale "
382;"Salzburg Collectables";"6562-9555";"Geislweg 14";"";"Salzburg";"";"5020";"Austria";1401;71700.0;"Pipps,Georg "
385;"Cruz & Sons Co.";"+63 2 555 3587";"15 McCallum Street";"NatWest Center #13-03";"Makati City";"";"1227 MM";"Philippines";1621;81500.0;"Cruz,Arnold"
386;"L'ordine Souveniers";"0522-556555";"Strada Provinciale 124";"";"Reggio Emilia";"";"42100";"Italy";1401;121400.0;"Moroni,Maurizio "
398;"Tokyo Collectables, Ltd";"+81 3 3584 0555";"2-2-8 Roppongi";"";"Minato-ku";"Tokyo";"106-0032";"Japan";1621;94400.0;"Shimamura,Akiko"
406;"Auto Canal+ Petit";"(1) 47.55.6555";"25, rue Lauriston";"";"Paris";"";"75016";"France";1337;95000.0;"Perrier,Dominique"
409;"Stuttgart Collectable Exchange";"0711-555361";"Adenauerallee 900";"";"Stuttgart";"";"70563";"Germany";0;0.0;"Muller,Rita "
412;"Extreme Desk Decorations, Ltd";"04 499 9555";"101 Lambton Quay";"Level 11";"Wellington";"";"";"New Zealand";1612;86800.0;"McRoy,Sarah"
415;"Bavarian Collectables Imports, Co.";" +49 89 61 08 9555";"Hansastr. 15";"";"Munich";"";"80686";"Germany";1504;77000.0;"Donnermeyer,Michael"
424;"Classic Legends Inc.";"2125558493";"5905 Pompton St.";"Suite 750";"NYC";"NY";"10022";"USA";1286;67500.0;"Hernandez,Maria"
443;"Feuer Online Stores, Inc";"0342-555176";"Heerstr. 22";"";"Leipzig";"";"04179";"Germany";0;0.0;"Feuer,Alexander "
447;"Gift Ideas Corp.";"2035554407";"2440 Pompton St.";"";"Glendale";"CT";"97561";"USA";1323;49700.0;"Lewis,Dan"
448;"Scandinavian Gift Ideas";"0695-34 6555";"akergatan 24";"";"Bracke";"";"S-844 67";"Sweden";1504;116400.0;"Larsson,Martha"
450;"The Sharp Gifts Warehouse";"4085553659";"3086 Ingle Ln.";"";"San Jose";"CA";"94217";"USA";1165;77600.0;"Frick,Sue"
452;"Mini Auto Werke";"7675-3555";"Kirchgasse 6";"";"Graz";"";"8010";"Austria";1401;45300.0;"Mendel,Roland "
455;"Super Scale Inc.";"2035559545";"567 North Pendale Street";"";"New Haven";"CT";"97823";"USA";1286;95400.0;"Murphy,Leslie"
456;"Microscale Inc.";"2125551957";"5290 North Pendale Street";"Suite 200";"NYC";"NY";"10022";"USA";1286;39800.0;"Choi,Yu"
458;"Corrida Auto Replicas, Ltd";"(91) 555 22 82";"C/ Araquil, 67";"";"Madrid";"";"28023";"Spain";1702;104600.0;"Sommer,Martin "
459;"Warburg Exchange";"0241-039123";"Walserweg 21";"";"Aachen";"";"52066";"Germany";0;0.0;"Ottlieb,Sven "
462;"FunGiftIdeas.com";"5085552555";"1785 First Street";"";"New Bedford";"MA";"50553";"USA";1216;85800.0;"Benitez,Violeta"
465;"Anton Designs, Ltd.";"+34 913 728555";"c/ Gobelas, 19-1 Urb. La Florida";"";"Madrid";"";"28023";"Spain";0;0.0;"Anton,Carmen"
471;"Australian Collectables, Ltd";"61-9-3844-6555";"7 Allen Street";"";"Glen Waverly";"Victoria";"3150";"Australia";1611;60300.0;"Clenahan,Sean"
473;"Frau da Collezione";"+39 022515555";"20093 Cologno Monzese";"Alessandro Volta 16";"Milan";"";"";"Italy";1401;34800.0;"Ricotti,Franco"
475;"West Coast Collectables Co.";"3105553722";"3675 Furth Circle";"";"Burbank";"CA";"94019";"USA";1166;55400.0;"Thompson,Steve"
477;"Mit Vergnugen & Co.";"0621-08555";"Forsterstr. 57";"";"Mannheim";"";"68306";"Germany";0;0.0;"Moos,Hanna "
480;"Kremlin Collectables, Co.";"+7 812 293 0521";"2 Pobedy Square";"";"Saint Petersburg";"";"196143";"Russia";0;0.0;"Semenov,Alexander "
481;"Raanan Stores, Inc";"+ 972 9 959 8555";"3 Hagalim Blv.";"";"Herzlia";"";"47625";"Israel";0;0.0;"Altagar,G M,Raanan"
484;"Iberia Gift Imports, Corp.";"(95) 555 82 82";"C/ Romero, 33";"";"Sevilla";"";"41101";"Spain";1702;65700.0;"Roel,Jose Pedro "
486;"Motor Mint Distributors Inc.";"2155559857";"11328 Douglas Av.";"";"Philadelphia";"PA";"71270";"USA";1323;72600.0;"Salazar,Rosa"
487;"Signal Collectibles Ltd.";"4155554312";"2793 Furth Circle";"";"Brisbane";"CA";"94217";"USA";1165;60300.0;"Taylor,Sue"
489;"Double Decker Gift Stores, Ltd";"(171) 555-7555";"120 Hanover Sq.";"";"London";"";"WA1 1DP";"UK";1501;43300.0;"Smith,Thomas "
495;"Diecast Collectables";"6175552555";"6251 Ingle Ln.";"";"Boston";"MA";"51003";"USA";1188;85100.0;"Franco,Valarie"
496;"Kelly's Gift Shop";"+64 9 5555500";"Arenales 1938 3'A'";"";"Auckland  ";"";"";"New Zealand";1612;110000.0;"Snowden,Tony"
